"Giver Spec","Buff / Mechanic","Scope","Stack Mode","Notes","feral druid","boomkin","survival hunter","beast master hunter","fire mage","arcane mage","ret paladin","shadow priest","rogue","enhance shaman","resto shaman","elemental shaman","affliction warlock","destruction warlock","arms warrior","fury warrior","prot paladin"
"feral druid","Leader of the Pack / Feral party package","Party","Non-cumulative","No extra benefit from two ferals in the same group.","0","0","110","131","0","0","88","0","80","82","0","0","0","0","88","110","0"
"boomkin","Moonkin Aura","Party","Non-cumulative","Caster group support; calibrate with sims.","0","0","0","0","0","81","0","10","0","0","0","69","67","87","0","0","0"
"survival hunter","Hunter/Ret party synergy","Party","Cumulative","Each hunter/ret contributes separately. BM hunter damage increase can stack; add sim-calibrated FI values here.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"beast master hunter","Hunter/Ret synergy + Ferocious Inspiration placeholder","Party","Cumulative","Each hunter/ret contributes separately. BM hunter damage increase can stack; add sim-calibrated FI values here.","78","54","80","80","0","70","65","50","60","62","0","0","67","70","63","70","0"
"fire mage","Mage party utility","Party","Non-cumulative","Placeholder; set values if relevant.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"arcane mage","Mage party utility","Party","Non-cumulative","Placeholder; set values if relevant.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ret paladin","Hunter/Ret party synergy","Party","Cumulative","Each hunter/ret contributes separately. BM hunter damage increase can stack; add sim-calibrated FI values here.","45","37","64","60","0","50","0","0","40","40","0","33","43","47","40","53","0"
"shadow priest","Vampiric Touch / mana return","Party","Cumulative","Two shadow priests can provide more mana regeneration. Calibrate values by receiver/spec.","0","8","0","0","0","90","0","0","0","0","0","30","60","60","0","0","0"
"rogue","Rogue party utility","Party","Non-cumulative","Placeholder; major rogue value is Improved Expose Armor debuff.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"enhance shaman","Windfury / Enhance party package","Party","Non-cumulative","Do not double-count multiple enhance in the same group.","328","92","311","200","0","92","484","0","371","0","0","0","100","134","420","478","0"
"resto shaman","Mana Tide / Resto party support","Party","Non-cumulative","Mage/healer group support; calibrate with sims.","175","98","170","150","0","160","312","79","190","0","0","20","100","134","285","300","0"
"elemental shaman","Totem of Wrath","Party","Non-cumulative","Caster group support; calibrate with sims.","175","172","170","150","0","175","312","86","190","0","0","0","210","266","285","300","0"
"affliction warlock","Warlock party utility","Party","Non-cumulative","Placeholder; most warlock value is raid debuffs.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"destruction warlock","Warlock party utility","Party","Non-cumulative","Placeholder; most warlock value is raid debuffs.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"arms warrior","Battle Shout / Warrior party package","Party","Non-cumulative","No extra benefit from two warriors in one group.","111","0","100","116","0","0","135","0","160","165","0","0","0","0","0","0","0"
"fury warrior","Battle Shout fallback / Warrior party package","Party","Non-cumulative","No extra benefit from two warriors in one group.","111","0","100","116","0","0","135","0","160","165","0","0","0","0","0","0","0"
"prot paladin","Prot Paladin flexible utility","Party","Non-cumulative","Placeholder for filler/utility; set values if desired.","45","37","64","60","0","50","0","0","40","40","0","33","43","47","40","53","0"
