"Debuff","Provider Spec","Provider Player Override","Debuff Family","Priority","Notes","Current Raid Value"
"Improved Expose Armor","rogue","Shortcutz","Major armor","Preferred","Preferred over Sunder; Expose/Sunder do not stack.","3,717"
"Sunder Armor","arms warrior","","Major armor","Fallback","Use only if Improved Expose Armor cannot be maintained.","2,893"
"Sunder Armor","fury warrior","","Major armor","Fallback","Fallback provider.","2,893"
"Sunder Armor","prot paladin","","Major armor","Fallback","Only if needed/possible.","2,893"
"Faerie Fire","feral druid","","Minor armor","Primary/backup","Stacks with Expose/Sunder and CoR.","1,862"
"Faerie Fire","boomkin","Zaddy","Minor armor","Primary/backup","Stacks with Expose/Sunder and CoR.","1,862"
"Curse of Recklessness","destruction warlock","Merlong","Minor armor","Primary assignment","Second warlock is assumed CoR.","1,427"
"Curse of Elements","affliction warlock","Voodu","Caster vulnerability","Primary assignment","First warlock is assumed CoE.","1,477"
"Misery","shadow priest","","Spell hit","Primary","Any shadow priest can provide.","823"
"Shadow Weaving","shadow priest","","Shadow damage","Primary","Any shadow priest can provide.","730"
"Improved Shadow Bolt","destruction warlock","","Shadow damage","Primary","Any warlock with talent/rotation can maintain.","0"
"Improved Shadow Bolt","affliction warlock","","Shadow damage","Primary","Fallback/alternate provider.","0"
"Expose Weakness","survival hunter","Milkbrother","Attack power","Primary assignment","First hunter is assumed Survival.","978"
"Mangle","feral druid","","Bleed/physical","Primary","Any feral can provide.","365"
"Blood Frenzy","arms warrior","Belross","Physical damage","Primary assignment","First warrior is assumed Arms.","949"
"Judgement of the Crusader","ret paladin","Vorles","Holy damage","Primary","Ret paladin assignment.","992"
"Improved Scorch","fire mage","","Fire vulnerability","Conditional","Only relevant if running fire/fire-damage focus.","314"
