"Debuff","Preferred Source","Fallback / Alternative","Debuff Family","Notes","feral druid","boomkin","survival hunter","beast master hunter","fire mage","arcane mage","ret paladin","shadow priest","rogue","enhance shaman","resto shaman","elemental shaman","affliction warlock","destruction warlock","arms warrior","fury warrior","prot paladin"
"Improved Expose Armor","rogue","Sunder Armor","Major armor","Preferred major armor debuff. Expose/Sunder do not stack; Expose is preferred.","411","0","475","493","0","0","216","0","0","336","0","0","0","0","80","130","0"
"Sunder Armor","arms warrior / fury warrior / prot paladin","None","Major armor","Fallback if rogue/Expose is absent.","340","0","390","410","0","0","180","0","13","270","0","0","0","0","0","0","0"
"Faerie Fire","feral druid / boomkin","None","Minor armor","Stacks with Expose or Sunder and CoR.","188","0","188","191","0","0","130","0","132","123","0","0","0","0","152","133","0"
"Curse of Recklessness","warlock assignment #2","None","Minor armor","Stacks with Expose/Sunder and Faerie Fire. Second warlock is assumed CoR.","125","0","146","147","0","0","65","0","108","102","0","0","0","0","118","140","0"
"Curse of Elements","warlock assignment #1","None","Caster vulnerability","First warlock is assumed CoE.","0","266","0","0","0","272","0","186","0","45","0","0","0","268","0","0","0"
"Misery","shadow priest","None","Spell hit","Shadow priest debuff; caster focus value should be sim-calibrated.","0","82","0","0","0","113","38","0","0","25","0","85","100","110","0","0","0"
"Shadow Weaving","shadow priest","None","Shadow damage","Mostly warlock/shadow value; sim-calibrate.","0","0","0","0","0","0","0","0","0","0","0","0","160","190","0","0","0"
"Improved Shadow Bolt","destruction warlock / affliction warlock","None","Shadow damage","Shadow vulnerability uptime/value; sim-calibrate.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Expose Weakness","survival hunter","None","Attack power","First hunter is assumed Survival.","0","0","0","150","0","0","85","0","93","100","0","0","0","0","92","108","0"
"Mangle","feral druid","None","Bleed/physical","Physical value; sim-calibrate.","180","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"Blood Frenzy","arms warrior","None","Physical damage","First warrior is assumed Arms.","100","0","100","105","0","0","42","0","76","75","0","0","0","0","0","96","0"
"Judgement of the Crusader","ret paladin","None","Holy damage","Useful to ret/prot/holy; sim-calibrate.","52","36","75","76","0","42","0","7","46","60","0","42","38","53","52","66","0"
"Improved Scorch","fire mage","None","Fire vulnerability","If running fire mage strategy; sim-calibrate.","0","0","0","0","0","0","0","0","0","56","0","0","44","34","0","0","0"
"Judgement of Wisdom","","","","","226","4","232","121","0","51","95","0","0","75","0","64","50","25","0","0","0"
"Improved Hunters Mark","","","","","31","0","0","152","0","0","35","0","40","44","0","0","0","0","40","43","0"
