"Player","Spec","Eligible Specs","Role","Bench Status","Debuff/Buff Assignment","Notes"
"Silent","prot paladin","prot paladin","Tank","Fixed","",""
"DevoutCoke","holy paladin","holy paladin","Healer","Fixed","",""
"Sera","holy priest","holy priest","Healer","Fixed","",""
"Sanctity","holy priest","holy priest","Healer","Fixed","",""
"toodles","resto shaman","resto shaman","Healer","Fixed","",""
"Trumie","elemental shaman","elemental shaman","DPS","Eligible","",""
"Zaddy","boomkin","boomkin","DPS","Eligible","",""
"Vorles","ret paladin","ret paladin","DPS","Eligible","",""
"Shortcutz","rogue","rogue","DPS","Eligible","Improved Expose Armor",""
"Belross","arms warrior","arms warrior | fury warrior","DPS","Eligible","Blood Frenzy / Sunder fallback",""
"Drederick","fury warrior","arms warrior | fury warrior","DPS","Eligible","Sunder fallback",""
"Poohdinni","feral druid","feral druid","DPS/Tank","Eligible","Mangle / Faerie Fire",""
"Raidiant","feral druid","feral druid","DPS/Tank","Eligible","Mangle / Faerie Fire",""
"Khubjorn","enhance shaman","enhance shaman","DPS","Eligible","",""
"Lizardblades","enhance shaman","enhance shaman","DPS","Eligible","",""
"Milkbrother","beast master hunter","beast master hunter | survival hunter","DPS","Eligible","Ferocious Inspiration",""
"Maclaurin","survival hunter","beast master hunter | survival hunter","DPS","Eligible","Expose Weakness",""
"Caargo","beast master hunter","beast master hunter | survival hunter","DPS","Eligible","Ferocious Inspiration",""
"Terevia","beast master hunter","beast master hunter | survival hunter","DPS","Eligible","Ferocious Inspiration",""
"Voodu","affliction warlock","affliction warlock | destruction warlock","DPS","Eligible","Curse of Elements",""
"Merlong","destruction warlock","affliction warlock | destruction warlock","DPS","Eligible","Curse of Recklessness",""
"Jysu","destruction warlock","affliction warlock | destruction warlock","DPS","Eligible","",""
"annalhistory","destruction warlock","affliction warlock | destruction warlock","DPS","Eligible","",""
"Tasidust","fire mage","arcane mage | fire mage","DPS","Eligible","",""
"Nukum","arcane mage","arcane mage | fire mage","DPS","Eligible","",""
"eazi","arcane mage","arcane mage | fire mage","DPS","Eligible","",""
"Datalus","destruction warlock","affliction warlock | destruction warlock","DPS","Eligible","",""
"Lanadelpray","shadow priest","shadow priest","DPS","Eligible","Misery / Shadow Weaving",""
"Tubfarter","shadow priest","shadow priest","DPS","Eligible","Misery / Shadow Weaving",""
"jessakira","resto druid","resto druid","Healer","Fixed","",""
